province,ssp,year,temp_grad_z,log_effort_visits_z,decades_ahead,hazard_glmm
Jiangsu,SSP245,2030,2.33211905412859,2.66020962572568,0.6,0.121151849200077
Jiangsu,SSP245,2050,3.72704335817199,2.66020962572568,2.6,0.240699336949321
Jiangsu,SSP245,2080,5.81942981423708,2.66020962572568,5.6,0.575695676537885
Jiangsu,SSP585,2030,3.02958120615029,2.66020962572568,0.6,0.171861603456784
Jiangsu,SSP585,2050,6.74937935026601,2.66020962572568,2.6,0.758336285789552
Jiangsu,SSP585,2080,12.3290765664396,2.66020962572568,5.6,0.999999999999821
Jiangxi,SSP245,2030,1.93957770752806,2.03646544259743,0.6,0.073156888117615
Jiangxi,SSP245,2050,3.33450201157146,2.03646544259743,2.6,0.12187064947376
Jiangxi,SSP245,2080,5.42688846763655,2.03646544259743,5.6,0.252319687976281
Jiangxi,SSP585,2030,2.63703985954976,2.03646544259743,0.6,0.0945873190819678
Jiangxi,SSP585,2050,6.35683800366548,2.03646544259743,2.6,0.340266202380059
Jiangxi,SSP585,2080,11.9365352198391,2.03646544259743,5.6,0.971613608759543
Jilin,SSP245,2030,0.473635888840846,1.43087385172655,0.6,0.0389702835128922
Jilin,SSP245,2050,1.86856019288424,1.43087385172655,2.6,0.053426889345922
Jilin,SSP245,2080,3.96094664894934,1.43087385172655,5.6,0.0852812114261887
Jilin,SSP585,2030,1.17109804086254,1.43087385172655,0.6,0.0456433236949376
Jilin,SSP585,2050,4.89089618497827,1.43087385172655,2.6,0.104666377424379
Jilin,SSP585,2080,10.4705934011519,1.43087385172655,5.6,0.331350224355806
Liaoning,SSP245,2030,2.4313831447557,1.81521110271711,0.6,0.0766949738078449
Liaoning,SSP245,2050,3.8263074487991,1.81521110271711,2.6,0.118600978703387
Liaoning,SSP245,2080,5.91869390486419,1.81521110271711,5.6,0.222153823088226
Liaoning,SSP585,2030,3.1288452967774,1.81521110271711,0.6,0.0954957281233463
Liaoning,SSP585,2050,6.84864344089312,1.81521110271711,2.6,0.289015956006812
Liaoning,SSP585,2080,12.4283406570667,1.81521110271711,5.6,0.882004484530709
Macao,SSP245,2030,1.97850679533985,-0.0815423128300258,0.6,0.0253686856081239
Macao,SSP245,2050,3.37343109938325,-0.0815423128300258,2.6,0.02059204796682
Macao,SSP245,2080,5.46581755544834,-0.0815423128300258,5.6,0.0150465863928601
Macao,SSP585,2030,2.67596894736155,-0.0815423128300258,0.6,0.022857383669751
Macao,SSP585,2050,6.39576709147727,-0.0815423128300258,2.6,0.0130847397127486
Macao,SSP585,2080,11.9754643076509,-0.0815423128300258,5.6,0.00564636897414672
Ningxia,SSP245,2030,2.31136161258017,1.03182570602048,0.6,0.0466972160918052
Ningxia,SSP245,2050,3.70628591662357,1.03182570602048,2.6,0.0557606136806867
Ningxia,SSP245,2080,5.79867237268866,1.03182570602048,5.6,0.0726266822638874
Ningxia,SSP585,2030,3.00882376460187,1.03182570602048,0.6,0.0510335326248735
Ningxia,SSP585,2050,6.72862190871759,1.03182570602048,2.6,0.0816092569505321
Ningxia,SSP585,2080,12.3083191248912,1.03182570602048,5.6,0.16170613832673
Qinghai,SSP245,2030,0.532381217598592,1.64452326421822,0.6,0.040776786437336
Qinghai,SSP245,2050,1.92730552164199,1.64452326421822,2.6,0.0601288630414152
Qinghai,SSP245,2080,4.01969197770708,1.64452326421822,5.6,0.106614169372448
Qinghai,SSP585,2030,1.22984336962029,1.64452326421822,0.6,0.0495409069512098
Qinghai,SSP585,2050,4.94964151373602,1.64452326421822,2.6,0.136741014886404
Qinghai,SSP585,2080,10.5293387299096,1.64452326421822,5.6,0.515132941765848
Shaanxi,SSP245,2030,2.88638130180618,1.82517891960298,0.6,0.089143473644504
Shaanxi,SSP245,2050,4.28130560584958,1.82517891960298,2.6,0.137777209058438
Shaanxi,SSP245,2080,6.37369206191467,1.82517891960298,5.6,0.256630148496734
Shaanxi,SSP585,2030,3.58384345382788,1.82517891960298,0.6,0.110992006862204
Shaanxi,SSP585,2050,7.3036415979436,1.82517891960298,2.6,0.3320924138395
Shaanxi,SSP585,2080,12.8833388141172,1.82517891960298,5.6,0.923045633065641
Shandong,SSP245,2030,2.79074652353571,2.0631809394978,0.6,0.101905944614795
Shandong,SSP245,2050,4.18567082757911,2.0631809394978,2.6,0.169399688057423
Shandong,SSP245,2080,6.2780572836442,2.0631809394978,5.6,0.343741566256483
Shandong,SSP585,2030,3.48820867555741,2.0631809394978,0.6,0.131720162393141
Shandong,SSP585,2050,7.20800681967313,2.0631809394978,2.6,0.454617702832027
Shandong,SSP585,2080,12.7877040358467,2.0631809394978,5.6,0.9954454458767
Shanghai,SSP245,2030,0.757533345928268,2.23089481099051,0.6,0.0489691074986798
