unit_id,province,ssp,year,log_effort_visits_z,temp_grad_z,hazard_glmm,hazard_xgb
CNTY_02021,Sichuan,SSP585,2050,1.09612356194346,5.77832892840594,0.079382837821345,0.0604662261903286
CNTY_02021,Sichuan,SSP585,2080,1.09612356194346,11.3580261445795,0.171105678446711,0.0604662261903286
CNTY_02022,Sichuan,SSP245,2030,2.22734197562178,1.36106863226852,0.0630857030080011,0.0404796972870827
CNTY_02022,Sichuan,SSP245,2050,2.22734197562178,2.75599293631191,0.11241063072764,0.0477457009255886
CNTY_02022,Sichuan,SSP245,2080,2.22734197562178,4.84837939237701,0.255610990111992,0.0477457009255886
CNTY_02022,Sichuan,SSP585,2030,2.22734197562178,2.05853078429021,0.0843768117137531,0.0477457009255886
CNTY_02022,Sichuan,SSP585,2050,2.22734197562178,5.77832892840594,0.357015920274698,0.0477457009255886
CNTY_02022,Sichuan,SSP585,2080,2.22734197562178,11.3580261445795,0.992934182720996,0.0477457009255886
CNTY_02023,Sichuan,SSP245,2030,1.59998675592562,1.36106863226852,0.0505819056889378,0.0494651086628437
CNTY_02023,Sichuan,SSP245,2050,1.59998675592562,2.75599293631191,0.0732862565438726,0.0582460686564446
CNTY_02023,Sichuan,SSP245,2080,1.59998675592562,4.84837939237701,0.126406904082691,0.0582460686564446
CNTY_02023,Sichuan,SSP585,2030,1.59998675592562,2.05853078429021,0.0609192102029407,0.0582460686564446
CNTY_02023,Sichuan,SSP585,2050,1.59998675592562,5.77832892840594,0.160058531293687,0.0582460686564446
CNTY_02023,Sichuan,SSP585,2080,1.59998675592562,11.3580261445795,0.553506342751442,0.0582460686564446
CNTY_02024,Sichuan,SSP245,2030,1.28022329794919,1.36106863226852,0.0451718012173871,0.0555524751543999
CNTY_02024,Sichuan,SSP245,2050,1.28022329794919,2.75599293631191,0.0587453624477675,0.0574553571641445
CNTY_02024,Sichuan,SSP245,2080,1.28022329794919,4.84837939237701,0.0867517973300782,0.0574553571641445
CNTY_02024,Sichuan,SSP585,2030,1.28022329794919,2.05853078429021,0.0515256347733252,0.0574553571641445
CNTY_02024,Sichuan,SSP585,2050,1.28022329794919,5.77832892840594,0.102940048281197,0.0574553571641445
CNTY_02024,Sichuan,SSP585,2080,1.28022329794919,11.3580261445795,0.273615848356867,0.0574553571641445
CNTY_02025,Sichuan,SSP245,2030,1.41441533913692,1.36106863226852,0.0473697908393924,0.0532053336501122
CNTY_02025,Sichuan,SSP245,2050,1.41441533913692,2.75599293631191,0.0644722687244954,0.0574553571641445
CNTY_02025,Sichuan,SSP245,2080,1.41441533913692,4.84837939237701,0.101702992648792,0.0574553571641445
CNTY_02025,Sichuan,SSP585,2030,1.41441533913692,2.05853078429021,0.0552827835578199,0.0574553571641445
CNTY_02025,Sichuan,SSP585,2050,1.41441533913692,5.77832892840594,0.124109033999005,0.0574553571641445
CNTY_02025,Sichuan,SSP585,2080,1.41441533913692,11.3580261445795,0.375832411266278,0.0574553571641445
CNTY_02026,Sichuan,SSP245,2030,0.628003526551518,1.36106863226852,0.0358314925764217,0.0599284842610359
CNTY_02026,Sichuan,SSP245,2050,0.628003526551518,2.75599293631191,0.0372485308731318,0.0698929205536842
CNTY_02026,Sichuan,SSP245,2080,0.628003526551518,4.84837939237701,0.039477671875078,0.0669828653335571
CNTY_02026,Sichuan,SSP585,2030,0.628003526551518,2.05853078429021,0.036533272960444,0.0723560452461243
CNTY_02026,Sichuan,SSP585,2050,0.628003526551518,5.77832892840594,0.0405098600328476,0.0669828653335571
CNTY_02026,Sichuan,SSP585,2080,0.628003526551518,11.3580261445795,0.0472803970656759,0.0669828653335571
CNTY_02027,Sichuan,SSP245,2030,0.77994792281427,1.36106863226852,0.0378220325719557,0.0727718025445938
CNTY_02027,Sichuan,SSP245,2050,0.77994792281427,2.75599293631191,0.0414378295853046,0.0669828653335571
CNTY_02027,Sichuan,SSP245,2080,0.77994792281427,4.84837939237701,0.0475034652480114,0.0669828653335571
CNTY_02027,Sichuan,SSP585,2030,0.77994792281427,2.05853078429021,0.0395895279972278,0.0745402947068214
CNTY_02027,Sichuan,SSP585,2050,0.77994792281427,5.77832892840594,0.0504695951628469,0.0669828653335571
CNTY_02027,Sichuan,SSP585,2080,0.77994792281427,11.3580261445795,0.0724204864195219,0.0669828653335571
CNTY_02028,Sichuan,SSP245,2030,2.2677309154099,1.36106863226852,0.0639859078146255,0.0404796972870827
CNTY_02028,Sichuan,SSP245,2050,2.2677309154099,2.75599293631191,0.11550937954006,0.0477457009255886
CNTY_02028,Sichuan,SSP245,2080,2.2677309154099,4.84837939237701,0.266860700405978,0.0477457009255886
CNTY_02028,Sichuan,SSP585,2030,2.2677309154099,2.05853078429021,0.0861519075503724,0.0477457009255886
