unit,lon,lat,ssp,year,hazard,panel,hz
1908,104.653730599924,37.0772638054809,SSP585,2080,0.999999999961158,SSP585 — 2080,0.999999999961158
1909,105.552045884044,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1910,106.450361168163,37.0772638054809,SSP585,2080,0.999999999854654,SSP585 — 2080,0.999999999854654
1911,107.348676452283,37.0772638054809,SSP585,2080,0.978538952684906,SSP585 — 2080,0.978538952684906
1912,108.246991736402,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1913,109.145307020522,37.0772638054809,SSP585,2080,0.990522297079313,SSP585 — 2080,0.990522297079313
1914,110.043622304641,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1915,110.941937588761,37.0772638054809,SSP585,2080,0.999973891300575,SSP585 — 2080,0.999973891300575
1916,111.84025287288,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1917,112.738568157,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1918,113.636883441119,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1919,114.535198725239,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1920,115.433514009359,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1921,116.331829293478,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1922,117.230144577598,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1923,118.128459861717,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1924,118.965149080216,37.0064569511871,SSP585,2080,1,SSP585 — 2080,1
1925,119.980692553906,37.0290900784476,SSP585,2080,1,SSP585 — 2080,1
1926,120.823405714076,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1927,121.688522248746,37.132552678032,SSP585,2080,1,SSP585 — 2080,1
1928,122.3472028895,37.1393174513548,SSP585,2080,1,SSP585 — 2080,1
1948,76.1682950065795,36.3725667307127,SSP585,2080,0.842542824038214,SSP585 — 2080,0.842542824038214
1949,76.8059567922191,36.3572022215529,SSP585,2080,0.832430518675301,SSP585 — 2080,0.832430518675301
1950,77.7042720763386,36.3572022215529,SSP585,2080,0.992506890481051,SSP585 — 2080,0.992506890481051
1951,78.6025873604581,36.3572022215529,SSP585,2080,0.940742769335202,SSP585 — 2080,0.940742769335202
1952,79.5009026445776,36.3572022215529,SSP585,2080,0.909084616345045,SSP585 — 2080,0.909084616345045
1953,80.3992179286972,36.3572022215529,SSP585,2080,0.998328537054934,SSP585 — 2080,0.998328537054934
1954,81.2975332128167,36.3572022215529,SSP585,2080,0.998958770827089,SSP585 — 2080,0.998958770827089
1955,82.1958484969362,36.3572022215529,SSP585,2080,0.585672154440632,SSP585 — 2080,0.585672154440632
1956,83.0941637810557,36.3572022215529,SSP585,2080,0.850528914559515,SSP585 — 2080,0.850528914559515
1957,83.9924790651753,36.3572022215529,SSP585,2080,0.667103160446314,SSP585 — 2080,0.667103160446314
1958,84.8907943492948,36.3572022215529,SSP585,2080,0.820563060510228,SSP585 — 2080,0.820563060510228
1959,85.7891096334143,36.3572022215529,SSP585,2080,0.869781844080539,SSP585 — 2080,0.869781844080539
1960,86.6874249175338,36.3572022215529,SSP585,2080,0.75032553398754,SSP585 — 2080,0.75032553398754
1961,87.5857402016533,36.3572022215529,SSP585,2080,0.761218289336849,SSP585 — 2080,0.761218289336849
1962,88.4840554857729,36.3572022215529,SSP585,2080,0.785126320847549,SSP585 — 2080,0.785126320847549
1963,89.3823707698924,36.3572022215529,SSP585,2080,0.448190650725168,SSP585 — 2080,0.448190650725168
1964,90.2806860540119,36.3572022215529,SSP585,2080,0.428582191407919,SSP585 — 2080,0.428582191407919
1965,91.1790013381314,36.3572022215529,SSP585,2080,0.516396840907171,SSP585 — 2080,0.516396840907171
