file,variable,type,n_missing,min,max,unit,description
grid_50km_risk_set.csv,effort_pc1_z,numeric,15015,-0.668745790529184,-0.651368249040441,z-score,""
grid_50km_risk_set.csv,log_effort_days_z,numeric,15015,-1.65285108668733,-1.46836747684667,z-score,""
grid_50km_risk_set.csv,year_c,integer,0,-11,-8,year,""
grid_50km_sdm_sample.csv,grid_id,integer,0,1,3795,"",""
grid_50km_sdm_sample.csv,species,character,0,,,"",""
grid_50km_sdm_sample.csv,sdm_prob,numeric,30,2.22044604925031e-16,0.967257022857666,"",""
hazard_risk_upgraded_complete_case.csv,species,character,0,,,"",""
hazard_risk_upgraded_complete_case.csv,province,character,0,,,"",""
hazard_risk_upgraded_complete_case.csv,year,integer,0,2002,2024,year,""
hazard_risk_upgraded_complete_case.csv,event,integer,0,0,1,"",""
hazard_risk_upgraded_complete_case.csv,temp_anom,numeric,0,-0.527000427246094,2.46366691589355,°C,""
hazard_risk_upgraded_complete_case.csv,prec_anom,numeric,0,-560.174987792969,731.925048828125,mm,""
hazard_risk_upgraded_complete_case.csv,temp_native_anom,numeric,0,-0.533598188121534,2.30596715985241,°C,""
hazard_risk_upgraded_complete_case.csv,prec_native_anom,numeric,0,-493.021592555127,316.258642879533,mm,""
hazard_risk_upgraded_complete_case.csv,temp_grad,numeric,0,-2.25121492446285,2.10086122584178,°C,""
hazard_risk_upgraded_complete_case.csv,prec_grad,numeric,0,-648.015178429936,849.037255594005,mm,""
hazard_risk_upgraded_complete_case.csv,temp_grad_z,numeric,0,-4.37504823977021,3.99404000088147,°C,""
hazard_risk_upgraded_complete_case.csv,prec_grad_z,numeric,0,-4.90316415463031,6.07972185895738,mm,""
hazard_risk_upgraded_complete_case.csv,effort_record,integer,0,1,29854,"",""
hazard_risk_upgraded_complete_case.csv,n_visits,integer,0,1,25948,"",""
hazard_risk_upgraded_complete_case.csv,n_observers,integer,0,1,2306,"",""
hazard_risk_upgraded_complete_case.csv,n_birding_days,integer,0,1,365,"",""
hazard_risk_upgraded_complete_case.csv,effort_pc1,numeric,0,-1.23605962494811,19.9572679742102,"",""
hazard_risk_upgraded_complete_case.csv,log_effort_record_z,numeric,0,-2.03419201696452,2.76507636831817,z-score,""
hazard_risk_upgraded_complete_case.csv,log_effort_visits_z,numeric,0,-1.67667518925434,2.93315801551981,z-score,""
hazard_risk_upgraded_complete_case.csv,log_effort_observers_z,numeric,0,-1.48954639624731,3.03181961710639,z-score,""
hazard_risk_upgraded_complete_case.csv,log_effort_days_z,numeric,0,-1.91286613097121,1.42785233195007,z-score,""
hazard_risk_upgraded_complete_case.csv,effort_pc1_z,numeric,0,-0.684247839773786,10.4950292737813,z-score,""
hazard_risk_upgraded_complete_case.csv,mig,character,0,,,"",""
hazard_risk_upgraded_complete_case.csv,mig_code,integer,258,0,2,"",""
hazard_risk_upgraded_range_map_anom.csv,species,character,0,,,"",""
hazard_risk_upgraded_range_map_anom.csv,year,integer,0,2002,2024,year,""
hazard_risk_upgraded_range_map_anom.csv,province,character,0,,,"",""
hazard_risk_upgraded_range_map_anom.csv,event,integer,0,0,1,"",""
hazard_risk_upgraded_range_map_anom.csv,temp_anom,numeric,0,-0.527000427246094,2.46366691589355,°C,""
hazard_risk_upgraded_range_map_anom.csv,prec_anom,numeric,0,-560.174987792969,731.925048828125,mm,""
hazard_risk_upgraded_range_map_anom.csv,temp_native_anom,numeric,0,-0.533598188121534,2.30596715985241,°C,""
hazard_risk_upgraded_range_map_anom.csv,prec_native_anom,numeric,0,-493.021592555127,316.258642879533,mm,""
hazard_risk_upgraded_range_map_anom.csv,temp_grad,numeric,0,-2.25121492446285,2.10086122584178,°C,""
hazard_risk_upgraded_range_map_anom.csv,prec_grad,numeric,0,-648.015178429936,849.037255594005,mm,""
hazard_risk_upgraded_range_map_anom.csv,temp_grad_z,numeric,0,-4.37504823977021,3.99404000088147,°C,""
hazard_risk_upgraded_range_map_anom.csv,prec_grad_z,numeric,0,-4.90316415463031,6.07972185895738,mm,""
hazard_risk_upgraded_range_map_anom.csv,effort_record,integer,0,1,29854,"",""
hazard_risk_upgraded_range_map_anom.csv,n_visits,integer,0,1,25948,"",""
