species,events_lost,provinces,first_year,last_year,in_birdwatch_modelled,in_rescue_modelled,modelling_status
Saxicola ferreus,1,Tianjin,2019,2019,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Saxicola rubetra,1,Xinjiang,2023,2023,FALSE,FALSE,not_modelled_at_all
Aethopyga gouldiae,1,Henan,2017,2017,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Anthreptes malacensis,1,Yunnan,2010,2010,FALSE,TRUE,modelled_in_rescue_but_not_in_sdm_province
Oriolus oriolus,1,Qinghai,2017,2017,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Paradoxornis gularis,1,Shaanxi,2011,2011,FALSE,FALSE,not_modelled_at_all
Suthora alphonsiana,1,Guangxi,2006,2006,FALSE,FALSE,not_modelled_at_all
Suthora conspicillata,1,Hunan,2011,2011,FALSE,FALSE,not_modelled_at_all
Suthora przewalskii,1,Sichuan,2007,2007,FALSE,FALSE,not_modelled_at_all
Suthora webbiana,1,Qinghai,2024,2024,FALSE,FALSE,not_modelled_at_all
Machlolophus xanthogenys,1,Tibet,2010,2010,FALSE,FALSE,not_modelled_at_all
Passerculus sandwichensis,1,Qinghai,2021,2021,FALSE,FALSE,not_modelled_at_all
Phylloscopus burkii,1,Tianjin,2002,2002,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Phylloscopus subaffinis,1,Inner Mongolia,2023,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Phylloscopus yunnanensis,1,Jiangxi,2012,2012,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Pitta moluccensis,1,Hainan,2017,2017,FALSE,FALSE,not_modelled_at_all
Pitta sordida,1,Sichuan,2007,2007,FALSE,FALSE,not_modelled_at_all
Pycnonotus blanfordi,1,Yunnan,2023,2023,FALSE,FALSE,not_modelled_at_all
Pycnonotus goiavier,1,Yunnan,2020,2020,FALSE,FALSE,not_modelled_at_all
Remiz pendulinus,1,Xinjiang,2024,2024,FALSE,FALSE,not_modelled_at_all
Hemitesia pallidipes,1,Hunan,2024,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Acridotheres cristatellus,1,Jilin,2023,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Agropsar sturninus,1,Tibet,2023,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
